,keyword
0,island
1,nature
2,waterfall
3,park
4,forest
5,isle
6,desert
7,backyard
8,cove
9,stream
10,coast
11,glacier
12,woods
13,lake
14,mountain
15,beach
16,river
17,valley
18,cave
19,pool
20,field
21,trail
22,wilderness
23,jungle
24,creek
25,ridge
26,canyon
27,garden
28,swamp
29,ocean
30,backcountry
31,boulder
32,volcano
33,fjord
34,shore
35,coastline
36,cliff
37,lagoon
38,meadow
39,dune
40,iceberg
41,cascade
42,fiord
43,nature
44,wild
45,covid
46,vaccine
